date,Скорост,Тегло,Дължина,Брой автомобили
2023-01-20 12:00:00,48.90546218487395,2074.5098468271335,4306.72268907563,482
2023-01-20 16:00:00,47.97627118644068,2042.455334987593,4883.429228998849,897
2023-01-20 20:00:00,48.08974358974359,1508.2234432234432,5194.68438538206,315
2023-01-21 00:00:00,48.01851851851852,1117.0194174757282,4912.14953271028,109
2023-01-21 04:00:00,49.11486486486486,2409.472602739726,5653.061224489796,148
2023-01-21 08:00:00,50.04761904761905,1841.340961098398,4167.912087912088,462
2023-01-21 12:00:00,50.29814385150812,1489.1067484662576,3807.5057736720555,870
2023-01-21 16:00:00,49.18194444444445,1512.5220030349014,4641.713483146067,723
2023-01-21 20:00:00,51.28033472803347,1872.216814159292,5334.599156118144,239
2023-01-22 00:00:00,50.06976744186046,948.8181818181819,4983.464566929134,129
2023-01-22 04:00:00,50.485074626865675,1883.5390625,5476.515151515152,134
2023-01-22 08:00:00,49.64093959731544,2146.9653979238756,4509.427609427609,299
2023-01-22 12:00:00,50.965229485396385,1551.8311688311687,3874.7559274755927,722
2023-01-22 16:00:00,49.35077793493635,1586.5408618127785,4774.289772727273,716
2023-01-22 20:00:00,48.54081632653061,2078.0588235294117,5486.666666666667,196
2023-01-23 00:00:00,40.18181818181818,3413.6969696969695,6327.272727272727,33
2023-01-23 04:00:00,47.13846153846154,2214.8327868852457,5528.971962616823,328
2023-01-23 08:00:00,46.55278592375367,2320.820987654321,4758.814814814815,684
2023-01-23 12:00:00,47.10775862068966,2122.046827794562,4424.425287356322,701
2023-01-23 16:00:00,47.35,1929.6080586080586,5174.912485414236,868
2023-01-23 20:00:00,48.53448275862069,1911.7018633540372,5461.271676300578,174
2023-01-24 00:00:00,44.25,5345.875,6334.375,32
2023-01-24 04:00:00,47.23776223776224,3223.8987854251013,5899.641577060932,293
2023-01-24 08:00:00,48.17795275590551,2299.89552238806,4705.54675118859,639
2023-01-24 12:00:00,48.194244604316545,2192.3328267477204,4421.356421356421,699
2023-01-24 16:00:00,48.4028384279476,1942.7072599531616,4943.894389438944,923
2023-01-24 20:00:00,48.05357142857143,1843.5125628140704,5417.351598173516,225
2023-01-25 00:00:00,43.104166666666664,1029.1764705882354,4872.340425531915,50
2023-01-25 04:00:00,47.8609022556391,3307.54693877551,6092.366412213741,267
2023-01-25 08:00:00,47.061806656101425,2636.7432432432433,4736.248012718601,640
2023-01-25 12:00:00,46.29150326797386,2089.8275382475663,4427.391874180865,775
2023-01-25 16:00:00,47.07448107448108,1939.2935656836462,5126.081582200247,826
2023-01-25 20:00:00,48.741176470588236,1552.5746606334842,5383.2,258
2023-01-26 00:00:00,48.60377358490566,1577.8536585365853,4962.745098039216,53
2023-01-26 04:00:00,47.52739726027397,2563.1260162601625,5808.727272727273,293
2023-01-26 08:00:00,47.06396255850234,2510.6108374384235,4644.6875,644
2023-01-26 12:00:00,45.57237715803453,1974.1095700416088,4418.518518518518,761
2023-01-26 16:00:00,46.89553990610329,1789.0689655172414,4946.690307328605,861
2023-01-26 20:00:00,46.413223140495866,2002.8921568627452,5120.416666666667,248
2023-01-27 00:00:00,53.0,1301.2549019607843,4957.407407407408,55
2023-01-27 04:00:00,47.939490445859875,2670.8136200716845,5805.806451612903,316
2023-01-27 08:00:00,46.31578947368421,2267.4048027444255,4650.801282051282,632
2023-01-27 12:00:00,48.297413793103445,2110.9648854961833,4471.407837445573,703
2023-01-27 16:00:00,47.80228136882129,1763.5899864682003,5017.971758664955,794
2023-01-27 20:00:00,50.53307392996109,1287.7991631799164,5144.53125,258
2023-01-28 00:00:00,51.46666666666667,1121.5346534653465,5267.241379310345,122
2023-01-28 04:00:00,50.12080536912752,2829.4621848739494,5883.802816901409,151
2023-01-28 08:00:00,49.5816091954023,2355.208845208845,4282.568807339449,440
2023-01-28 12:00:00,50.50175849941383,1580.6604708798018,3916.9789227166275,858
2023-01-28 16:00:00,49.333333333333336,1632.5944625407167,4682.127659574468,737
2023-01-28 20:00:00,51.23300970873787,1472.308988764045,5379.024390243902,210
2023-01-29 00:00:00,50.169642857142854,1110.3761467889908,4934.821428571428,113
2023-01-29 04:00:00,47.357798165137616,2399.3465346534654,5853.7037037037035,109
2023-01-29 08:00:00,47.72280701754386,2390.611721611722,4658.741258741259,287
2023-01-29 12:00:00,51.86397608370702,1686.2034700315457,3872.222222222222,670
2023-01-29 16:00:00,50.169724770642205,1755.2140468227424,4701.529051987767,665
2023-01-29 20:00:00,48.430851063829785,2639.214689265537,5778.07486631016,188
2023-01-30 00:00:00,43.29032258064516,880.3103448275862,4464.5161290322585,31
2023-01-30 04:00:00,47.00476190476191,2751.387755102041,5469.607843137255,212
2023-01-30 08:00:00,44.65619546247819,2168.539741219963,4514.33628318584,577
2023-01-30 12:00:00,46.688235294117646,2299.403374233129,4553.823529411765,685
2023-01-30 16:00:00,48.55816831683168,2127.600790513834,4924.625,816
2023-01-30 20:00:00,48.013636363636365,1489.1898148148148,5258.256880733945,222
2023-01-31 00:00:00,47.567567567567565,2342.542857142857,5789.189189189189,37
2023-01-31 04:00:00,47.17254901960784,3437.4609053497943,5983.1325301204815,255
2023-01-31 08:00:00,46.654263565891476,2283.573529411765,4470.689655172414,648
2023-01-31 12:00:00,49.274170274170274,2093.3018292682927,4299.708029197081,698
2023-01-31 16:00:00,48.086009174311926,1936.0456226880394,4730.911188004614,886
2023-01-31 20:00:00,48.61304347826087,1633.9724770642201,5383.913043478261,231
2023-02-01 00:00:00,44.719298245614034,1840.3148148148148,5466.666666666667,114
